rozumieæ, pojmowaæ ;understand
1. dla 2. na 3. (pracowaæ) w, na ;for
wa¿ny, znacz¹cy ;important
(nieform) aha, no ;yeah
1. <Adj> (nie lewy) prawy 2. w³aœciwy 3. (oczekiwany) poprawny ;right
powa¿ny (about = co do) ;serious
wszystko ;everything
1. <Num> pierwszy 2. <Adv> najpierw 3. po pierwsze ;first
1. ca³owaæ 2. poca³unek ;kiss
1. zupe³nie 2. dok³adnie tak ;absolutely
1. <Adj> pocz¹tkowy 2. <N> otwarcie 3. (filmu) pocz¹tek ;opening
1. <V> dzia³aæ 2. (zachowywaæ siê) postêpowaæ (towards = wobec) 3. (dzia³aæ) funkcjonowaæ (as = jako, like = jak) ;act
komik ;comedian
1. ty  (w ró¿nych przypadkach) 2. wy  (w ró¿nych przypadkach) 3. pan, pani ;you
1. wystêpuje z bezokolicznikiem, nie t³umaczone (to love = kochaæ) 2. <Prep> (z I form¹ czasownika) aby, ¿eby (he stopped to look at her = stan¹³, aby na ni¹ spojrzeæ) 3. (przed rzeczownikiem) czêsto nie t³umaczone, odpowiada polskiemu celownikowi (he showed the letter to John = pokaza³ Johnowi list) ;to
1. <V> siedzieæ 2. siadaæ 3. (BR, egzamin) zdawaæ ;sit
1. <Prep> (o czasie) przed, zanim 2. <Adj> zesz³ego (the night before = zesz³ej nocy) 3. <Adv> kiedyœ, ju¿ ;before
1. i, a 2. (z dwoma przymiotnikami w stopniu wy¿szym) coraz (more and more = coraz bardziej) ;and
my ;we
1. dlaczego, czemu 2. (US) idiom: ``Why!'' = ,,Ale¿!'', ,,O!'' ;why
1. bilet 2. mandat 3. etykietka ;ticket
1. <N> problem 2. <Adj> trudny 3. idiom: no problem = nie ma problemu ;problem
1. <Det> nie 2. (w odpowiedzi na stwierdzenie z przeczeniem) tak (it is not easy -- no, it is quite difficult = to nie jest ³atwe -- tak, to ca³kiem trudne) 3. <Pron> ¿aden ;no
1. <N> sprawa 2. (termin) materia, substancja 3. (med) ropa ;matter
1. jak 2. idiom: how sb is = jak ktoœ siê ma (how are you? = jak siê masz, dzieñ dobry) 3. idiom: how much = ile (how much is it? = ile to kosztuje) ;how
1. <Adj> wielki 2. du¿y 3. (nieform) znakomity ;great
1. <V> pokazywaæ, wskazywaæ 2. (do pokoju) zaprowadzaæ, wprowadzaæ 3. (zza chmur) ukazywaæ siê, ukazywaæ ;show
1. znów 2. jeszcze raz 3. idiom: *again and again/time and again* = wci¹¿, ci¹gle ;again
1. <Adj> ruch drogowy, ruch 2. (np. narkotykami) handel 3. <V> (np. narkotykami) handlowaæ (in sth = czymœ) ;traffic
dojmuj¹cy, ciê¿ki ;trying
1. <V> pozostawaæ 2. przebywaæ, zatrzymywaæ siê (with sb = u kogoœ, at a hotel = w hotelu) 3. trzymaæ siê (away from a place = z dala od czegoœ, out of sth = z dala od czegoœ) ;stay
1. <V> budziæ siê, budziæ 2. <Adj> czuwaj¹cy  (nie œpi¹cy) 3. idiom: be awake = nie spaæ ;awake
1. <N> s³owo, wyraz 2. (also a word) (nieform) s³ówko (with sb = z kimœ) 3. wiadomoœæ ;word
1. miêdzy dwoma rzeczownikami t³umaczy siê jako dope³niacz drugiego z nich (a cup of tea = fili¿anka herbaty) (the leg of a table = noga sto³u) 2. t³umaczy siê jako przymiotnik od drugiego z rzeczowników (the University of Warsaw = Uniwersytet Warszawski) 3. (materia³, wybór, czas) z (of steel = ze stali) (many of them = wielu z nich) (the war of 1991 = wojna z roku 1991) ;of
rada ;advice
1. <Adv> w ty³, do ty³u, z ty³u 2. (iœæ) z powrotem 3. (z czasownikami czêsto t³umaczone jako) od- (call back = oddzwoniæ) ;back
1. lub, albo, czy 2. poniewa¿ 3. inaczej ;or
1. <V> znajdowaæ 2. zauwa¿aæ, stwierdzaæ 3. <N> znalezisko, zdobycz ;find
1. siê, siebie, sobie  (w odniesieniu do 2. os.) 2. sam ;yourself
album ;album
1. <Adj> sam 2. <Adv> samotnie 3. tylko (Mary alone = tylko Mary) ;alone
1. <Adv> dalej, nadal 2. wci¹¿ 3. jednak ;still
1. o 2. z 3. oko³o ;about
1. p³eæ 2. seks 3. idiom: have sex = mieæ stosunek p³ciowy ;sex
1. (miejsce) przy, w, na 2. (czas) o, w (at five o'clock = o pi¹tej) (at Christmas = w dniu Bo¿ego Narodzenia) 3. idiom: at Mary's = u Mary ;at
1. <Adj> dobry 2. niez³y 3. (dziecko) grzeczny ;good
1. to 2. (u¿yty zamiast rzeczownika nie odnosz¹cego siê do ludzi) on, ona, ono 3. czêsto nie t³umaczy siê (it is raining = pada) ;it
1. <Pron> ona  (czasami o krajach, pojazdach, zwierzêtach) 2. <N> samica (she-dog = suka) ;she
1. wydawaæ siê byæ, wydawaæ siê, zdawaæ siê (it seems important = wydaje siê to byæ wa¿ne) (it seems to be important = wydaje siê to byæ wa¿ne) (I seem to remember that = zdaje mi siê, ¿e to pamiêtam) 2. (z przeczeniem) w ogóle nie ;seem
1. z³y (at = na, with = na, about = z powodu, for = za), gniewny 2. idiom: be angry with (sb) = gniewaæ siê na kogoœ, gniewaæ siê na ;angry
1. <N> zagadnienie 2. (also the issue) problem, sprawa 3. numer ;issue
1. <V> ¿yæ 2. mieszkaæ 3. (¿ycie) prowadziæ, spêdzaæ ;live
1. z 2. czêsto nie t³umaczone, odpowiada narzêdnikowi (wipe it with a wet rag = wytrzyj to mokr¹ œcierk¹) 3. wraz z  (kimœ, nastaniem czegoœ) ;with
lubiæ ;like
